feature,importance
0348,0.0067721647
0437,0.006751169
0155,0.006710789
1905,0.0065243375
1017,0.006513538
0107,0.0055269734
0595,0.005499103
0046,0.004766312
0745,0.0038545935
3485,0.003519536
0032,0.0034704313
0816,0.0033295134
0754,0.0032546862
0521,0.0029576754
0270,0.002746201
0233,0.0027368392
0660,0.0027315025
0051,0.0026976147
0322,0.0025338607
0150,0.002361446
2614,0.0023108672
0259,0.0022684233
0299,0.0022321483
0491,0.0021934116
3479,0.0021619257
0634,0.0021528583
0687,0.0021374575
0044,0.0020446784
0079,0.0019619612
1690,0.0019413179
0195,0.001940989
0140,0.0018587897
0678,0.0018264803
0165,0.0017706311
0811,0.0017512486
0643,0.0017086954
0231,0.0017011041
0582,0.0016984285
0177,0.0016941155
1597,0.0016658995
1601,0.0016565364
2402,0.0016554721
0584,0.0016528493
1363,0.001650794
0271,0.0016407133
0015,0.0016110158
4152,0.0016106896
2188,0.0016096846
1086,0.001605225
0603,0.0016035804
1467,0.0015912494
2036,0.0015798718
1101,0.0015679674
0291,0.001566033
0101,0.0015608061
0063,0.0015546554
0561,0.0015461817
0893,0.0015360643
2051,0.0015301689
0224,0.0015282374
1079,0.0015179043
0124,0.0015113382
1725,0.001505726
0497,0.0015021112
0296,0.0015011992
0700,0.0015010521
1857,0.0014914087
0576,0.0014821573
0790,0.0014788461
0404,0.0014746388
0274,0.0014690482
0502,0.001463801
2732,0.0014592884
0234,0.0014547509
2167,0.0014422438
0317,0.0014235011
0724,0.0014101913
1484,0.0014014005
0064,0.0013916255
0616,0.0013834585
0917,0.0013786624
2088,0.0013669676
0329,0.0013642663
0714,0.0013523154
1930,0.0013521732
1757,0.0013508006
0857,0.0013459706
2548,0.0013434327
0248,0.0013426373
0662,0.0013350414
0567,0.0013320893
1664,0.0013271637
0238,0.0013151341
0513,0.0013132904
0475,0.0013118968
0438,0.0013020057
0618,0.0012981802
0523,0.001278506
0674,0.0012770088
0627,0.0012753522
2271,0.0012724344
0422,0.0012598905
1294,0.0012588932
0038,0.0012580003
0514,0.0012496279
0580,0.0012487895
0848,0.0012484065
0638,0.0012467348
1869,0.0012458724
2310,0.0012448402
1317,0.0012442701
1349,0.0012422058
1813,0.0012379753
0542,0.0012326168
0800,0.0012320245
0061,0.0012275479
0186,0.0012272513
1077,0.001218412
0962,0.0012157083
2417,0.0012140867
1883,0.0012139089
0363,0.0012127755
3877,0.0012119606
2836,0.001210626
2409,0.0012086885
0598,0.0011991649
1297,0.0011967673
1243,0.0011890813
0734,0.0011824508
0106,0.0011797593
0477,0.001176694
0685,0.0011720965
2298,0.0011690458
0316,0.0011681393
1774,0.0011639486
0464,0.0011624953
1577,0.0011622643
0999,0.001159596
2348,0.0011582128
0986,0.0011579688
0197,0.0011569246
0327,0.0011542733
0490,0.0011524557
1145,0.0011497737
1346,0.0011456496
0173,0.0011432058
4254,0.0011366522
0074,0.0011345133
1033,0.0011341773
0653,0.001129993
0467,0.0011298717
0466,0.001128818
1549,0.001117973
2297,0.0011162068
1056,0.0011149176
0470,0.0011136363
0202,0.0011118129
0235,0.0011096481
0511,0.0011084297
1277,0.0011069891
0391,0.001106727
2254,0.001106569
0715,0.0011024546
1787,0.0011022813
1569,0.0011017104
0539,0.0010991007
0977,0.0010980329
1108,0.0010970853
1606,0.001096726
4329,0.0010945213
2873,0.001092148
4769,0.0010896256
1437,0.0010888029
2275,0.0010877553
2414,0.0010876134
3737,0.0010839412
0368,0.0010826186
0312,0.0010766113
1651,0.0010741524
0809,0.0010733026
0429,0.0010654916
0474,0.0010603146
1081,0.0010578675
0600,0.0010571072
0788,0.0010558179
0388,0.0010551509
0664,0.001055137
1593,0.0010516791
0839,0.0010503354
1987,0.0010501379
0058,0.0010479419
0670,0.0010469521
